Rowid;FREGUESIA;NAOCOMBUSTIVEL;AGRICULTURA;FOLHOSAS;EUCALIPTO;INVASORAS;PINHEIRO_BRAVO;OUTROS_PINHEIROS;MATOS;TOTAL;NAOCOMBUSTIVEL_HA;AGRICULTURA_HA;FOLHOSAS_HA;EUCALIPTO_HA;INVASORAS_HA;PINHEIRO_BRAVO_HA;OUTROS_PINHEIROS_HA;MATOS_HA;TOTAL_HA;FRAC_AGRICULTURA;FRAC_FOLHOSAS;FRAC_EUCALIPTO;FRAC_INVASORAS;FRAC_PINHEIRO_BRAVO;FRAC_OUTROS_PINHEIROS;FRAC_MATOS;LR_COS;LR_Slope;LR_Elevation;LR_total;PROBABILIDADE;HAZARD;HAZARD_SCALEDMAX;EXPOSICAO;ESPOSICAO_SCALEDMAX;VSOCIAL;VSOCIAL_SCALEDMAX;INDRISCOINC_MAX
1;Carvoeiro;721875;4771875;66250;6395625;0;35371875;0;1583750;48911250;72.1875;477.1875;6.625;639.5625;0;3537.1875;0;158.375;4891.125;0.097561911;0.001354494;0.130759795;0;0.72318485;0;0.032380076;1.441125263;1.296965;1.096474;1.724622704;0.035626;0.061441408;0.186932976;0.103574682;0.198042715;0.397098;0.502222767;0.26491938
2;Amêndoa;578750;2799375;130000;11090000;39375;12089375;13750;10880000;37620625;57.875;279.9375;13;1109;3.9375;1208.9375;1.375;1088;3762.0625;0.074410646;0.003455551;0.294785108;0.001046633;0.321349659;0.000365491;0.289203063;1.694330126;1.314281;1.27394;2.192650406;0.049144;0.107755612;0.327842048;0.103592217;0.198076245;0.458881;0.580361739;0.33527302
3;São Pedro do Esteval;3328750;14516875;538125;16130000;0;9591875;0;24381250;68486875;332.875;1451.6875;53.8125;1613;0;959.1875;0;2438.125;6848.6875;0.211965796;0.007857345;0.235519579;0;0.140054207;0;0.355998868;1.526461391;1.043574;0.62638;1.274560153;0.015268;0.019459984;0.059206208;0.087783665;0.167849084;0.369662;0.467523565;0.166864228
4;São João do Peso;371250;1167500;146250;1185625;0;6555000;0;3628125;13053750;37.125;116.75;14.625;118.5625;0;655.5;0;362.8125;1305.375;0.089437901;0.011203677;0.090826391;0;0.502154553;0;0.277937374;1.64861105;1.227757;0.911253;1.763197761;0.034101;0.060126807;0.182933355;0.1441124;0.275553934;0.733968;0.928273223;0.360350486
5;União das freguesias de Santa Ovaia e Vila Pouca da Beira;861250;2156250;706875;426250;268750;2965625;0;47500;7432500;86.125;215.625;70.6875;42.625;26.875;296.5625;0;4.75;743.25;0.290110999;0.095105954;0.057349479;0.036158762;0.399007736;0;0.006390851;0.965974079;1.378759;1.295765;1.291760429;0.02607;0.033676194;0.102458446;0.122868472;0.234933919;0.282121;0.356807613;0.204790214
6;Lourosa;510625;2651875;552500;2953125;56250;7115625;21250;66250;13927500;51.0625;265.1875;55.25;295.3125;5.625;711.5625;2.125;6.625;1392.75;0.190405672;0.039669718;0.212035541;0.004038772;0.510904685;0.001525758;0.004756776;1.240495954;1.188225;1.281061;1.531569647;0.025309;0.038762496;0.117933312;0.20602764;0.39394061;0.416673;0.526979907;0.290371353
7;União das freguesias de Espariz e Sinde;1810625;3942500;3024375;11473125;133750;2916875;100000;116250;23517500;181.0625;394.25;302.4375;1147.3125;13.375;291.6875;10;11.625;2351.75;0.167641118;0.128601042;0.487854789;0.005687254;0.124029978;0.004252153;0.004943127;1.154449231;0.882245;0.80639;0.974721688;0.033598;0.032748699;0.09963658;0.183199687;0.350291818;0.354598;0.448471634;0.250146595
8;São Gião;352500;1853125;2446875;217500;242500;8077500;0;1365625;14555625;35.25;185.3125;244.6875;21.75;24.25;807.75;0;136.5625;1455.5625;0.127313324;0.168105114;0.014942677;0.016660226;0.5549401;0;0.093821117;1.369712184;2.048757;1.852651;2.671903036;0.03757;0.100383397;0.305412387;0.046483541;0.088880086;0.387828;0.490498697;0.237015268
9;São João da Boa Vista;535000;1856250;972500;3933125;0;2287500;231875;31875;9848125;53.5;185.625;97.25;393.3125;0;228.75;23.1875;3.1875;984.8125;0.188487656;0.098749762;0.399378054;0;0.232277718;0.023545091;0.003236657;1.161947614;0.877579;1.034665;1.110963676;0.02934;0.032595674;0.099171008;0.168492837;0.322171195;0.389483;0.492591829;0.250602969
10;União das freguesias de Penalva de Alva e São Sebastião da Feira;1067500;2065625;3614375;108750;2159375;5475625;0;11250;14502500;106.75;206.5625;361.4375;10.875;215.9375;547.5625;0;1.125;1450.25;0.142432339;0.249224272;0.007498707;0.148896742;0.377564213;0;0.000775728;1.129076958;2.021609;1.250221;1.847073931;0.030501;0.056337602;0.171404854;0.106365101;0.203378211;0.298127;0.377050922;0.235998467
